A	B
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
2.0	1.0
1.0	0.5
1.5	0.5
2.0	0.5
1.0	0.5
2.0	0.5
1.5	0.5
1.0	0.5
1.0	0.5
1.5	1.0
1.5	0.5
1.5	1.0
1.5	0.5
1.0	0.5
2.0	0.5
2.0	0.5
1.0	1.0
1.5	0.5
1.5	0.5
2.0	0.5
1.0	0.5
2.0	1.0
1.0	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.5	1.0
1.5	0.5
1.5	0.5
1.0	0.5
1.5	1.0
2.0	0.5
1.5	0.5
1.5	0.5
3.9	1.0
1.0	0.5
2.0	0.5
1.5	0.5
1.0	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.0	0.5
2.0	0.5
1.0	0.5
1.5	1.0
2.0	0.5
1.0	0.5
2.0	0.5
1.0	0.5
2.0	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.5	1.0
1.0	0.5
1.5	1.0
1.5	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.0	0.5
2.0	0.5
1.0	1.0
1.5	0.5
1.9	1.0
1.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	0.5
0.5	1.0
2.0	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.0	0.5
2.0	0.5
1.5	1.0
1.9	0.5
1.5	0.5
1.0	1.0
2.0	0.5
2.0	0.5
3.9	0.5
1.5	1.0
2.0	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	0.5
1.0	0.5
2.0	0.5
1.5	0.5
4.0	1.0
2.0	0.5
1.0	0.5
2.0	0.5
1.5	0.5
1.0	1.0
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	1.0
2.5	0.5
1.0	1.0
2.0	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	1.0
1.0	0.5
1.5	0.5
2.0	0.5
1.0	0.5
1.5	1.0
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.0	0.5
2.0	0.5
2.0	0.5
1.0	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	1.0
3.5	0.5
1.5	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	0.5
2.0	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.0	0.5
2.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	1.0
1.5	1.0
1.5	0.5
2.0	0.5
1.0	0.5
1.0	0.5
2.0	1.0
1.0	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.5	0.5
1.0	0.5
2.0	1.0
1.5	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
3.0	0.5
1.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	1.0
2.0	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.0	0.5
2.0	0.5
2.0	1.0
1.5	0.5
0.5	0.5
2.5	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
1.5	0.5
3.4	1.0
2.0	0.5
1.9	0.5
1.5	0.5
1.5	0.5
1.5	1.0
2.0	0.5
1.5	0.5
1.5	0.5
1.5	0.5
6.9	0.5
2.0	0.5
1.0	0.5
2.5	0.5
1.0	0.5
2.0	0.5
1.0	0.5
1.5	0.5
1.5	1.0
1.5	0.5
1.5	0.5
1.0	0.5
1.5	1.0
1.5	0.5
1.5	1.0
1.0	0.5
2.0	0.5
1.5	0.5
1.0	0.5
2.0	1.0
1.5	0.5
1.5	0.5
1.5	0.5
1.0	0.5
1.5	0.5
2.0	0.5
1.0	
3.0	
1.5	
1.5	
1.0	
1.5	
1.5	
1.5	
1.5	
2.0	
1.5	
1.0	
1.5	
1.5	
1.5	
1.5	
1.5	
1.5	
1.5	
1.0	
2.0	
1.0	
1.5	
1.0	
1.5	
1.5	
1.5	
1.5	
1.0	
2.0	
1.0	
1.5	
2.0	
1.5	
1.5	
1.0	
2.0	
1.0	
1.5	
1.5	
1.0	
1.5	
2.0	
1.0	
1.5	
1.5	
1.5	
1.5	
1.0	
2.0	
1.5	
1.0	
2.0	
